_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
602538960a720f05a800021b,5,All-receipts receipt bonus,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,5,1.613E+12,2,FINISHED,23,60253891b54593795bf69242
602558b40a7214d8e9000263,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,150,1.613E+12,2,FINISHED,26,602558b1efa60114d20e5dc7
6025495f0a720f05a8000231,,,1.61306E+12,1.61306E+12,,1.61306E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025fcb40a7214d8e90002c3,,,1.6131E+12,1.6131E+12,,1.6131E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026ef4b0a7214d8e9000349,,,1.61316E+12,1.61316E+12,,1.61316E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60268cab0a7214d8e9000315,5,All-receipts receipt bonus,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,5,1.61305E+12,2,FINISHED,11,54943462e4b07e684157a532
602686ff0a7214d8e9000301,,,1.61314E+12,1.61314E+12,,1.61314E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602623610a720f05a80002a2,,,1.61311E+12,1.61311E+12,,1.61311E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60267a190a7214d8e90002fa,,,1.61313E+12,1.61313E+12,,1.61313E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026fc2f0a720f05a8000311,,,1.61317E+12,1.61317E+12,,1.61317E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60267c710a720f05a80002c9,,,1.61313E+12,1.61313E+12,,1.61313E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025cf030a7214d8e90002b2,,,1.61309E+12,1.61309E+12,,1.61309E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026963b0a7214d8e900031a,,,1.61314E+12,1.61314E+12,,1.61314E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025fde20a720f05a8000294,,,1.6131E+12,1.6131E+12,,1.6131E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025dabc0a720f05a8000283,,,1.61309E+12,1.61309E+12,,1.61309E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60263d290a7214d8e90002e3,,,1.61312E+12,1.61312E+12,,1.61312E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602644300a720f05a80002af,,,1.61312E+12,1.61312E+12,,1.61312E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026f0780a720f05a800030c,,,1.61316E+12,1.61316E+12,,1.61316E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60268caf0a720f05a80002e2,25,COMPLETE_NONPARTNER_RECEIPT,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,35,1.61305E+12,1,FINISHED,1,60268c69efa6011bb151075f
60268c7e0a7214d8e9000309,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,100,1.61309E+12,3,FINISHED,29,60268c7bb545931ac63683af
602671e50a720f05a80002c4,,,1.61313E+12,1.61313E+12,,1.61313E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026329d0a720f05a80002a7,,,1.61312E+12,1.61312E+12,,1.61312E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60264b390a720f05a80002b0,,,1.61312E+12,1.61312E+12,,1.61312E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60265f250a720f05a80002ba,,,1.61313E+12,1.61313E+12,,1.61313E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60268c790a7214d8e9000306,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,1.61314E+12,850,1.61309E+12,1,FINISHED,25,60268c78efa6011bb151077d
60267d9d0a7214d8e90002fb,,,1.61314E+12,1.61314E+12,,1.61314E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025f0fe0a720f05a800028f,,,1.6131E+12,1.6131E+12,,1.6131E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602667590a7214d8e90002f3,,,1.61313E+12,1.61313E+12,,1.61313E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026c3f00a7214d8e9000337,,,1.61315E+12,1.61315E+12,,1.61315E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026f2cd0a7214d8e900034b,,,1.61317E+12,1.61317E+12,,1.61317E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026dc8a0a7214d8e9000343,,,1.61316E+12,1.61316E+12,,1.61316E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026b71f0a720f05a80002f0,,,1.61315E+12,1.61315E+12,,1.61315E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6026ada90a720f05a80002ed,,,1.61315E+12,1.61315E+12,,1.61315E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603983e20a7217c72c000138,25,COMPLETE_NONPARTNER_RECEIPT,1.61438E+12,1.61438E+12,,1.61438E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
60393fef0a7217c72c0000ec,,,1.61436E+12,1.61436E+12,,1.61436E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603908dd0a7217c72c0000d4,,,1.61435E+12,1.61435E+12,,1.61435E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
